iter	Logloss
0	0.670838638
1	0.6510691805
2	0.632348169
3	0.617039596
4	0.6021864053
5	0.5887724151
6	0.5780810675
7	0.5675450295
8	0.5576014728
9	0.5494031227
10	0.5419608507
11	0.5348502877
12	0.5287627453
13	0.522939312
14	0.5175614333
15	0.5130578111
16	0.5088428554
17	0.5050299544
18	0.501670272
19	0.4986603728
20	0.495937741
21	0.4934454404
22	0.4910915915
23	0.4890485549
24	0.486877142
25	0.4851824816
26	0.4838974664
27	0.4822911336
28	0.4808022579
29	0.479439437
30	0.4782306818
31	0.4771035209
32	0.4761909792
33	0.4752286862
34	0.4741874061
35	0.4733541617
36	0.4722627003
37	0.47157816
38	0.4708512413
39	0.4701649591
40	0.4695703358
41	0.4690058844
42	0.468543445
43	0.4679836776
44	0.4675004803
45	0.4670497656
46	0.4666127299
47	0.4660885205
48	0.4655406547
49	0.4650855283
50	0.4647613147
51	0.4643999401
52	0.4639570528
53	0.4635500175
54	0.4632632481
55	0.4629302845
56	0.4626974931
57	0.4623912559
58	0.462155457
59	0.4618480005
60	0.4615682692
61	0.4612482769
62	0.4610126658
63	0.4607530092
64	0.4605435693
65	0.4603396734
66	0.4601022796
67	0.4599146889
68	0.459645112
69	0.4594553086
70	0.4592680554
71	0.4591128602
72	0.4588202501
73	0.4586266991
74	0.4583404141
75	0.4582765757
76	0.4581288159
77	0.4579829858
78	0.4576969213
79	0.4575505986
80	0.4573962498
81	0.4572376907
82	0.4571888919
83	0.457090938
84	0.4569715321
85	0.456851484
86	0.4567067888
87	0.4564661482
88	0.4563848451
89	0.4562149123
90	0.4560096201
91	0.4557373814
92	0.4556496335
93	0.4555174769
94	0.4553491988
95	0.4552037742
96	0.4550012146
97	0.4548756661
98	0.4548098762
99	0.454574932
100	0.4544922953
101	0.4543747129
102	0.454187261
103	0.4540761017
104	0.4539427475
105	0.4538856152
106	0.4537593699
107	0.4536470974
108	0.4535325551
109	0.4533317373
110	0.4532012436
111	0.4531127336
112	0.4530226887
113	0.4529460994
114	0.4528141034
115	0.4526899728
116	0.4524999353
117	0.4524097053
118	0.4522218996
119	0.4520948052
120	0.4520208722
121	0.4519586804
122	0.4518062367
123	0.4516633514
124	0.4516168089
125	0.4515115555
126	0.4514227135
127	0.4512946802
128	0.4511131532
129	0.4510416534
130	0.4509380657
131	0.4507927581
132	0.4506861983
133	0.4505512874
134	0.4504955757
135	0.4504116871
136	0.45022457
137	0.4501287307
138	0.4500875226
139	0.4499790495
140	0.4498749691
141	0.4498225043
142	0.4496479094
143	0.449474199
144	0.4494054752
145	0.4492198604
146	0.4491670419
147	0.4491127645
148	0.448951892
149	0.4488440177
150	0.4487415403
151	0.4486173471
152	0.4485409239
153	0.4484742795
154	0.4483553826
155	0.4482103445
156	0.4481184733
157	0.4480110535
158	0.4479410261
159	0.447805696
160	0.4476669313
161	0.447563104
162	0.4474675478
163	0.4473377181
164	0.4472410515
165	0.4471568417
166	0.4470288355
167	0.4469259581
168	0.4467219941
169	0.4466760639
170	0.4465987861
171	0.446418024
172	0.4463290976
173	0.4462510224
174	0.4461331678
175	0.4460487539
176	0.446011269
177	0.4459610577
178	0.445865115
179	0.4457544565
180	0.4456792389
181	0.445595862
182	0.4454740448
183	0.4453854341
184	0.4452787491
185	0.4452569571
186	0.4451572476
187	0.4450610409
188	0.4449980408
189	0.4449151863
190	0.4448247794
191	0.4447886036
192	0.4447259082
193	0.4446001583
194	0.4445129547
195	0.4443927351
196	0.4443084164
197	0.4441059847
198	0.4440596899
199	0.4439911158
200	0.4438954072
201	0.4437775662
202	0.4436959393
203	0.4436470154
204	0.4435093147
205	0.4434046547
206	0.4432769152
207	0.4431930674
208	0.4431234047
209	0.4429450512
210	0.4428633807
211	0.4427534434
212	0.4426509415
213	0.4425458786
214	0.4424788641
215	0.4423303777
216	0.4422328374
217	0.4421647804
218	0.4420580002
219	0.4418871883
220	0.4418188238
221	0.4417378582
222	0.4415993955
223	0.4414746825
224	0.4413673036
225	0.4412620338
226	0.4411947199
227	0.4411576078
228	0.4410901523
229	0.4409642282
230	0.4408372753
231	0.4407677841
232	0.4406523082
233	0.4405652353
234	0.4404813739
235	0.4403201584
236	0.4402533589
237	0.440126953
238	0.439959007
239	0.439849829
240	0.439752354
241	0.4396458215
242	0.4395420078
243	0.4393824471
244	0.4392997097
245	0.4391836978
246	0.4390252148
247	0.4389146815
248	0.4387825684
249	0.4386410248
250	0.4384969447
251	0.4383395641
252	0.4381861025
253	0.4380356729
254	0.4378939198
255	0.4377219267
256	0.4375696518
257	0.4374226079
258	0.4372837125
259	0.4371338489
260	0.437044909
261	0.4369137294
262	0.4367356344
263	0.436589886
264	0.4364820933
265	0.4363828438
266	0.4362748715
267	0.4361650812
268	0.4360576559
269	0.4359661957
270	0.4358898977
271	0.4357156729
272	0.4355674287
273	0.4354518631
274	0.4353008565
275	0.4351109333
276	0.4350045831
277	0.4348415061
278	0.4346768314
279	0.434527417
280	0.4343866437
281	0.4342326296
282	0.4340979419
283	0.4339703548
284	0.4338140247
285	0.4336593765
286	0.4335225931
287	0.4334144684
288	0.4333128321
289	0.4331571007
290	0.4329988083
291	0.4328740272
292	0.4327353441
293	0.4325951315
294	0.4324927467
295	0.4323636192
296	0.4322046164
297	0.4320872872
298	0.4319852616
299	0.4318262779
300	0.4317107232
301	0.4315886066
302	0.431432252
303	0.43131228
304	0.431245788
305	0.4311273402
306	0.4310285017
307	0.4309018971
308	0.4307066097
309	0.4304826036
310	0.4303578797
311	0.430229204
312	0.4301025505
313	0.4300010475
314	0.4298646261
315	0.4298004093
316	0.4296831019
317	0.4295934978
318	0.4294628027
319	0.4293777628
320	0.4292396185
321	0.4290902286
322	0.4289698457
323	0.4288326622
324	0.4287066918
325	0.4285771234
326	0.4284838016
327	0.4284042567
328	0.4282795518
329	0.4281084705
330	0.4279805106
331	0.4278305082
332	0.427709483
333	0.4275504612
334	0.4273653064
335	0.4272463169
336	0.4271147999
337	0.4270395252
338	0.4269408935
339	0.4268441669
340	0.4267202541
341	0.426542023
342	0.4264738681
343	0.426326816
344	0.4262126466
345	0.4260199338
346	0.4258962305
347	0.4258070918
348	0.4256446435
349	0.4255539971
350	0.4254182968
351	0.4252742657
352	0.4251232754
353	0.4250385812
354	0.4249232823
355	0.4248224162
356	0.4246845604
357	0.4245546137
358	0.4244366041
359	0.4242799011
360	0.4241541022
361	0.4240517038
362	0.4239458026
363	0.4238375146
364	0.4236936141
365	0.4235947593
366	0.4234277087
367	0.4232694135
368	0.4231887582
369	0.4231115974
370	0.4230005497
371	0.4228818134
372	0.4227711984
373	0.4226820733
374	0.4225605963
375	0.4225140865
376	0.4223820496
377	0.4223046602
378	0.4221287915
379	0.4220006792
380	0.4218654634
381	0.4217264646
382	0.4215809557
383	0.4214835215
384	0.4213448329
385	0.4211921008
386	0.421083361
387	0.4210083612
388	0.4209019212
389	0.4207475942
390	0.4206356755
391	0.4205103801
392	0.4204129595
393	0.4202832768
394	0.4201335085
395	0.4200749038
396	0.4199470555
397	0.4198327227
398	0.4196988079
399	0.4195519735
