iter	Passed	Remaining
0	9	3863
1	19	3845
2	29	3860
3	38	3780
4	47	3781
5	56	3735
6	64	3624
7	73	3607
8	82	3585
9	92	3591
10	103	3644
11	113	3663
12	123	3683
13	132	3655
14	142	3645
15	152	3661
16	161	3634
17	169	3605
18	178	3585
19	187	3568
20	196	3543
21	205	3530
22	214	3520
23	224	3519
24	234	3520
25	246	3544
26	255	3536
27	264	3516
28	274	3506
29	283	3493
30	292	3479
31	301	3461
32	310	3450
33	318	3433
34	328	3424
35	337	3415
36	346	3397
37	355	3383
38	364	3374
39	373	3361
40	382	3346
41	391	3339
42	399	3320
43	408	3304
44	417	3294
45	426	3284
46	434	3266
47	443	3255
48	453	3248
49	462	3236
50	471	3223
51	480	3218
52	490	3211
53	499	3202
54	508	3190
55	517	3181
56	527	3174
57	536	3162
58	545	3150
59	553	3134
60	562	3123
61	570	3111
62	579	3098
63	588	3090
64	597	3081
65	607	3072
66	616	3063
67	625	3052
68	634	3043
69	643	3032
70	652	3025
71	662	3016
72	671	3006
73	680	2998
74	691	2994
75	697	2974
76	707	2966
77	715	2953
78	723	2941
79	732	2931
80	742	2923
81	750	2910
82	758	2897
83	767	2888
84	776	2877
85	784	2865
86	793	2855
87	803	2849
88	812	2838
89	820	2826
90	828	2814
91	838	2806
92	846	2795
93	855	2784
94	866	2781
95	875	2771
96	884	2763
97	893	2754
98	902	2743
99	910	2731
100	920	2723
101	930	2718
102	944	2722
103	952	2712
104	962	2702
105	970	2691
106	979	2681
107	988	2672
108	997	2663
109	1006	2652
110	1015	2645
111	1024	2634
112	1033	2624
113	1041	2611
114	1050	2604
115	1059	2594
116	1068	2584
117	1077	2574
118	1086	2565
119	1094	2554
120	1103	2544
121	1111	2532
122	1121	2524
123	1130	2515
124	1138	2504
125	1147	2496
126	1156	2485
127	1165	2476
128	1174	2466
129	1183	2457
130	1191	2446
131	1200	2437
132	1209	2428
133	1218	2418
134	1227	2408
135	1236	2399
136	1245	2390
137	1254	2381
138	1262	2371
139	1271	2361
140	1280	2351
141	1288	2340
142	1297	2331
143	1305	2321
144	1314	2311
145	1323	2302
146	1332	2292
147	1340	2283
148	1349	2273
149	1358	2263
150	1368	2256
151	1377	2246
152	1385	2236
153	1393	2226
154	1404	2219
155	1413	2210
156	1421	2200
157	1431	2192
158	1439	2181
159	1447	2171
160	1456	2162
161	1466	2154
162	1475	2144
163	1484	2135
164	1493	2126
165	1501	2116
166	1511	2108
167	1519	2098
168	1528	2088
169	1536	2079
170	1548	2073
171	1556	2063
172	1565	2054
173	1574	2045
174	1584	2036
175	1592	2027
176	1601	2017
177	1611	2009
178	1622	2003
179	1634	1998
180	1643	1988
181	1652	1979
182	1661	1970
183	1671	1961
184	1680	1953
185	1688	1942
186	1697	1933
187	1707	1925
188	1715	1915
189	1725	1906
190	1734	1897
191	1743	1888
192	1751	1878
193	1760	1869
194	1769	1860
195	1778	1851
196	1787	1841
197	1796	1832
198	1806	1824
199	1814	1814
200	1823	1805
201	1832	1796
202	1840	1786
203	1849	1777
204	1858	1767
205	1866	1757
206	1876	1750
207	1885	1740
208	1893	1730
209	1903	1721
210	1912	1712
211	1921	1704
212	1931	1695
213	1940	1686
214	1948	1676
215	1958	1668
216	1967	1659
217	1976	1649
218	1985	1640
219	1994	1631
220	2003	1622
221	2012	1613
222	2021	1604
223	2031	1595
224	2040	1587
225	2049	1577
226	2057	1568
227	2067	1559
228	2076	1550
229	2085	1541
230	2094	1532
231	2103	1523
232	2112	1514
233	2121	1505
234	2132	1496
235	2142	1488
236	2151	1479
237	2160	1470
238	2169	1461
239	2179	1453
240	2188	1444
241	2197	1435
242	2207	1426
243	2216	1417
244	2225	1407
245	2234	1398
246	2243	1389
247	2252	1380
248	2260	1370
249	2269	1361
250	2278	1352
251	2288	1344
252	2297	1334
253	2307	1326
254	2318	1318
255	2331	1311
256	2340	1302
257	2349	1293
258	2359	1284
259	2368	1275
260	2377	1266
261	2386	1257
262	2395	1247
263	2403	1238
264	2413	1229
265	2421	1219
266	2431	1211
267	2440	1202
268	2452	1194
269	2463	1186
270	2475	1178
271	2488	1170
272	2501	1163
273	2513	1155
274	2525	1147
275	2537	1139
276	2549	1132
277	2562	1124
278	2574	1116
279	2587	1108
280	2599	1100
281	2612	1093
282	2624	1085
283	2636	1076
284	2649	1068
285	2661	1060
286	2673	1052
287	2687	1045
288	2698	1036
289	2711	1028
290	2724	1020
291	2736	1012
292	2747	1003
293	2759	994
294	2772	986
295	2785	978
296	2797	970
297	2810	962
298	2822	953
299	2834	944
300	2847	936
301	2858	927
302	2872	919
303	2884	910
304	2896	902
305	2910	893
306	2922	885
307	2934	876
308	2947	868
309	2960	859
310	2972	850
311	2984	841
312	2996	832
313	3012	825
314	3028	817
315	3040	808
316	3053	799
317	3064	790
318	3076	781
319	3088	772
320	3101	763
321	3114	754
322	3126	745
323	3138	736
324	3151	727
325	3163	718
326	3175	708
327	3188	699
328	3200	690
329	3212	681
330	3225	672
331	3236	662
332	3248	653
333	3260	644
334	3272	635
335	3284	625
336	3296	616
337	3308	606
338	3321	597
339	3333	588
340	3345	578
341	3358	569
342	3370	560
343	3382	550
344	3395	541
345	3407	531
346	3421	522
347	3432	512
348	3444	503
349	3456	493
350	3468	484
351	3484	475
352	3495	465
353	3514	456
354	3538	448
355	3559	439
356	3575	430
357	3588	421
